Food_items,Category,Calories,Fats,Protein,Iron,Carbohydrates,Fibre,Sugar,Meal Type,Sodium
Asparagus Cooked,Veg,22,0.2,2.4,0.91,4.1,2,1.3,Dinner,1
Avocados,Veg,160,15,2,0.55,8.5,6.7,0.7,Breakfast,7
Bananas,Veg,89,0.3,1.1,0.26,23,2.6,12,Breakfast,1
Bagels made in wheat,Veg,250,1.5,10,2.76,49,4.1,6.1,Breakfast,450
Berries,Veg,349,0.4,14,6.8,77,13,46,Lunch,1
Brocolli,Veg,25,0.5,3.8,1.27,3.1,2.8,0.6,Lunch,33
Veg Biryani,Veg,362,2.7,7.5,1.8,76,3.4,0,Dinner,5
Cauliflower,Veg,32,0.3,3,0.72,6.3,3.3,0,Dinner,30
Bread with Peanut Butter,Veg,331,24,20,0.84,8.3,0,0,Breakfast,175
Coffee,Veg,2,0,0.3,0.02,0.2,0,0,Breakfast,2
Corn,Veg,97,1.4,3.3,0.55,22,2.7,7.7,Lunch,15
Dark chocolates,Veg,556,32,5.5,2.13,60,6.5,48,Snack,15
Grapes,Veg,93,2.1,5.6,2.63,17,11,6.3,Snack,2
Milk,Veg,97,6.9,3.8,0.12,5.2,0,0,Breakfast,100
Cashew Nuts,Veg,553,44,18,6.68,30,3.3,5.9,Snack,12
Beetroot,Veg,40,0.1,1.1,0.21,9.3,1.7,4.2,Lunch,78
Orange,Veg,97,0.2,1.5,0.8,25,11,0,Breakfast,0
Pasta,Veg,71,0.7,2.2,0.91,14,0.9,4,Snack,3
Pears,Veg,57,0.1,0.4,0.18,15,3.1,9.8,Snack,1
Fried Peas,Veg,81,0.4,5.4,1.47,14,5.7,5.7,Lunch,250
Protein Powder,Veg,411,17,46,8.57,19,7.1,5.7,Snack,125
Pumpkin Vegetable,Veg,18,0.1,0.7,0.57,4.3,1.1,2.1,Dinner,1
Tuna Salad,Non-Veg,187,9.3,16,1,9.4,0,0,Lunch,400
Fish,Non-Veg,184,6.3,30,1.31,0,0,0,Dinner,75
Pineapple Pizza,Veg,298,14,12,2.14,30,1.8,3.2,Snack,700
Cheese Pizza,Veg,276,11,11,2.47,33,2.1,2.5,Snack,750
French Fries,Veg,312,14,3.4,0.91,41,3.9,0.3,Snack,210
Chicken Burger,Non-Veg,292,15,18,0.62,20,1.3,0,Snack,650
Cheese Burger,Veg,256,12,13,2.78,25,1.4,0,Snack,800
Chicken Sandwich,Non-Veg,257,12,15,1.32,23,1.2,5,Breakfast,600
Sugar Doughnuts,Veg,426,23,5.2,1.06,51,1.5,32,Snack,200
Chocolate Doughnuts,Veg,452,25,4.9,4,51,1.9,27,Snack,250
Pop Corn - Caramel,Veg,381,1.4,2,0.8,90,2.5,65,Snack,300
Pop Corn,Veg,429,9.5,13,2.28,73,14,0.5,Snack,150
Dosa,Veg,168,3.7,4.5,8,29,0.9,0.1,Breakfast,400
Idli,Veg,156,1.7,5,17.2,30.2,2.1,0.74,Breakfast,300
Poha,Veg,130,1.5,2.6,3.16,26.9,1.1,0.5,Breakfast,200
Two Chappati and dal,Veg,297,7.5,11,3.01,46,4.9,2.7,Lunch,150
Tomato Soup,Veg,16,0.2,1.2,0.47,3.2,0.9,2,Snack,400
Yogurt,Veg,60,4,3.1,0.08,7,0,7,Lunch,50
Brownie,Veg,407,6.2,4.4,3.81,84,2.9,55,Snack,200
Noodles,Veg,108,0.2,1.8,0.14,24,1,0,Snack,800
Uttapam,Veg,188,7.2,4.4,24,26.4,2.2,0.24,Breakfast,300
Dal,Veg,109,8.5,2.1,35.2,6.3,1.5,3.29,Dinner,300
Almonds,Veg,579,50,21,3.71,22,13,4.4,Snack,1
Mushrooms Vegetable,Veg,22,0.3,3.1,0.5,3.3,1,2,"Lunch, Dinner",10
Egg Yolk cooked,Non-Veg,196,15,14,1.89,0.8,0,0.4,Breakfast,50
Sweet Potatoes cooked,Veg,76,0.1,1.4,0.72,18,2.5,5.7,Lunch,50
Boiled Potatoes,Veg,87,0.1,1.9,0.31,20,2,0.9,Breakfast,5
1 bowl white rice,Veg,360,0.6,6.6,4.36,79,1.4,0,Dinner,1
Orange juice,Veg,45,0.2,0.7,0.2,10,0.2,8.4,Breakfast,2
Oat Bran Cooked,Veg,40,0.9,3.2,0.88,11,2.6,0,Breakfast,1
Green Tea,Veg,1,0,0.2,0.02,0,0,0,Snack,0
Chia seeds,Veg,486,31,17,7.72,42,34,0,Breakfast,10
Cottage cheese with vegetables,Veg,95,4.2,11,0.1,3,0.1,0.4,"Lunch, Dinner",400
Salmon,Non-Veg,127,4.4,21,0.38,0,0,0,Dinner,60
Cereals-Corn Flakes,Veg,384,0.9,5.9,19.4,88,2.7,7.8,Breakfast,200
Beans,Veg,31,0.2,1.8,1.03,7,2.7,3.3,Breakfast,1
Lentils,Veg,101,0.5,8.8,3.1,21,0,0,Snack,2
Corn Pasta,Veg,126,0.7,2.6,0.25,28,4.8,0,Snack,5
Tea,Veg,1,0,0,0.08,0.2,0,0,Breakfast,5
Apples,Veg,52,0.2,0.3,0.12,14,24,10,Snack,1
Strawberries,Veg,32,0.3,0.7,0.41,7.7,2,4.9,Snack,1
Quinoa,Veg,120,1.9,4.4,1.49,21,2.8,0.9,Lunch,10
Goat meat,Non-Veg,143,2.3,21,2.83,57,0,0,Dinner,70
Chicken Strips,Non-Veg,295,15,19,0.72,22,1.1,0.3,Breakfast,800
Steak Fries,Non-Veg,255,13,3.3,0.69,31,3.5,0.9,Snack,400
Fried Shrimp,Non-Veg,319,20,14,1.54,21,1.5,0.8,Lunch,400
Spaghetti and meatballs,Non-Veg,170,8.5,7.8,1.29,16,1.5,2,Snack,600
Macroni n Cheese ,Veg,194,12,6.5,57,16,1.1,2.8,Snack,800
Pork cooked,Non-Veg,297,21,26,1.29,0,0,0,Dinner,70
Bacon cooked,Non-Veg,146,2.8,28,0.56,1.8,0,1.2,Breakfast,800
Nachos,Veg,350,22,4.3,0.75,35,3.2,2.2,Snack,400
Chicken Popcorn,Non-Veg,351,22,18,1.42,21,1,0,Snack,500
Turkey cooked,Non-Veg,203,10,27,1.52,0,0,0,Dinner,70
Cooked Crab,Non-Veg,159,4,29,4.9,0,0,0,Lunch,400
Chicken sticks,Non-Veg,550,50,22,3.4,5.4,0,0,Snack,600
Banana Chips,Veg,519,34,2.3,1.25,58,7.7,35,Snack,2
One Spoon Honey,Veg,304,0,0.3,0.42,82,0.2,82,Dinner,1
Dryfruits,Veg,216,11,3.8,0.93,28,1.2,25,Breakfast,10
Ice cream after lunch,Veg,207,11,3.5,0.09,24,0.7,21,Lunch,50
Strawberry,Veg,192,8.4,3.2,0.21,28,0.9,0,"Lunch, Snack",1
Marshmallows,Veg,318,0.2,1.8,0.23,81,0.1,58,Snack,50
Chocolate milk,Veg,535,30,7.7,2.35,59,3.4,52,Snack,100
Oats Pudding,Veg,376,0.1,2.7,1.79,91,0.7,0,Breakfast,50
3 Piece Roti,Veg,297,7.5,11,3.01,46,4.9,2.7,Dinner,150
